,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
204,Douglas Luiz,Central Midfield,21,2000000,England,Premier League,Manchester City,England,Premier League,Aston Villa,16000000,2019
205,Ché Adams,Centre-Forward,22,7000000,England,Championship,Birmingham City,England,Premier League,Southampton FC,16000000,2019
206,Stefano Sturaro,Central Midfield,26,10000000,Italy,Serie A,Juventus FC,Italy,Serie A,Genoa CFC,16000000,2019
207,Philip Billing,Central Midfield,23,7000000,England,Championship,Huddersfield Town,England,Premier League,AFC Bournemouth,16000000,2019
208,Arnaut Danjuma,Left Winger,22,12000000,Belgium,Jupiler Pro League,Club Brugge KV,England,Premier League,AFC Bournemouth,16000000,2019
209,Eljif Elmas,Central Midfield,19,10000000,Turkey,Süper Lig,Fenerbahce,Italy,Serie A,SSC Napoli,16000000,2019
210,Leandro Trossard,Left Winger,24,16000000,Belgium,Jupiler Pro League,KRC Genk,England,Premier League,Brighton & Hove Albion,15000000,2019
211,Angeliño,Left-Back,22,16000000,Netherlands,Eredivisie,PSV Eindhoven,England,Premier League,Manchester City,12000000,2019
212,Martin Hinteregger,Centre-Back,26,16000000,Germany,Bundesliga,FC Augsburg,Germany,Bundesliga,Eintracht Frankfurt,9000000,2019
213,Jean-Kévin Augustin,Centre-Forward,22,16000000,Germany,Bundesliga,RB Leipzig,Monaco,Ligue 1,AS Monaco,4000000,2019
214,Angeliño,Left-Back,23,16000000,England,Premier League,Manchester City,Germany,Bundesliga,RB Leipzig,2000000,2019
215,Mattia Caldara,Centre-Back,25,16000000,Italy,Serie A,AC Milan,Italy,Serie A,Atalanta BC,900k,2019
216,Moussa Djenepo,Left Winger,21,12000000,Belgium,Jupiler Pro League,Standard Liège,England,Premier League,Southampton FC,15000000,2019
217,Neal Maupay,Centre-Forward,22,12000000,England,Championship,Brentford FC,England,Premier League,Brighton & Hove Albion,15000000,2019
218,Matt Targett,Left-Back,23,7000000,England,Premier League,Southampton FC,England,Premier League,Aston Villa,15000000,2019
219,Darwin Núñez,Centre-Forward,20,750k,Uruguay,Primera División Clausura,CA Peñarol,Spain,LaLiga SmartBank,UD Almería,15000000,2019
220,Theo Hernández,Left-Back,21,15000000,Spain,LaLiga,Real Madrid,Italy,Serie A,AC Milan,22000000,2019
221,Moussa Diaby,Right Winger,19,12000000,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Bayer 04 Leverkusen,15000000,2019
222,Ozan Kabak,Centre-Back,19,15000000,Germany,2. Bundesliga,VfB Stuttgart,Germany,Bundesliga,FC Schalke 04,15000000,2019
223,Youssouf Fofana,Central Midfield,21,6000000,France,Ligue 1,RC Strasbourg Alsace,Monaco,Ligue 1,AS Monaco,15000000,2019
224,M'Baye Niang,Centre-Forward,24,12000000,Italy,Serie A,Torino FC,France,Ligue 1,Stade Rennais FC,15000000,2019
225,Riccardo Orsolini,Right Winger,22,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,Bologna FC 1909,15000000,2019
226,Ozan Kabak,Centre-Back,19,15000000,Germany,2. Bundesliga,VfB Stuttgart,Germany,Bundesliga,FC Schalke 04,15000000,2019
227,Lucas Ocampos,Left Winger,24,15000000,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Sevilla FC,15000000,2019
228,Edson Álvarez,Defensive Midfield,21,7000000,Mexico,Liga MX Clausura,CF América,Netherlands,Eredivisie,Ajax Amsterdam,15000000,2019
229,Keylor Navas,Goalkeeper,32,10000000,Spain,LaLiga,Real Madrid,France,Ligue 1,Paris Saint-Germain,15000000,2019
230,Youssouf Fofana,Central Midfield,21,6000000,France,Ligue 1,RC Strasbourg Alsace,Monaco,Ligue 1,AS Monaco,15000000,2019
231,Darío Benedetto,Centre-Forward,29,15000000,Argentina,Superliga,CA Boca Juniors,France,Ligue 1,Olympique Marseille,14000000,2019
232,Valentin Rongier,Central Midfield,24,15000000,France,Ligue 1,FC Nantes,France,Ligue 1,Olympique Marseille,13000000,2019
233,Xaver Schlager,Central Midfield,21,15000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,VfL Wolfsburg,12000000,2019
234,Ionut Radu,Goalkeeper,22,15000000,Italy,Serie A,Genoa CFC,Italy,Serie A,Inter Milan,10000000,2019
235,Fabian Delph,Central Midfield,29,15000000,England,Premier League,Manchester City,England,Premier League,Everton FC,9000000,2019
236,Ionut Radu,Goalkeeper,22,15000000,Italy,Serie A,Inter Milan,Italy,Serie A,Genoa CFC,8000000,2019
237,Merih Demiral,Centre-Back,21,15000000,Turkey,Süper Lig,Alanyaspor,Italy,Serie A,US Sassuolo,8000000,2019
238,Gedson Fernandes,Central Midfield,21,15000000,Portugal,Liga NOS,SL Benfica,England,Premier League,Tottenham Hotspur,4000000,2019
239,Patrik Schick,Centre-Forward,23,15000000,Italy,Serie A,AS Roma,Germany,Bundesliga,RB Leipzig,3000000,2019
240,Djibril Sidibé,Right-Back,27,15000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Everton FC,2000000,2019
241,Martin Ødegaard,Attacking Midfield,20,15000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Real Sociedad,2000000,2019
242,Cristian Pavón,Left Winger,23,15000000,Argentina,Superliga,CA Boca Juniors,United States,MLS,Los Angeles Galaxy,1000000,2019
243,Rafinha,Attacking Midfield,26,15000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Celta de Vigo,1000000,2019
244,Mario Lemina,Defensive Midfield,26,15000000,England,Premier League,Southampton FC,Turkey,Süper Lig,Galatasaray,1000000,2019
245,Pedro,Centre-Forward,22,15000000,Italy,Serie A,ACF Fiorentina,Brazil,Série A,CR Flamengo,1000000,2019
246,Daniel Sturridge,Centre-Forward,29,15000000,England,Premier League,Liverpool FC,Turkey,Süper Lig,Trabzonspor,free transfer,2019
247,Hélder Costa,Right Winger,25,15000000,England,Premier League,Wolverhampton Wanderers,England,Championship,Leeds United,loan transfer,2019
248,Sergio Reguilón,Left-Back,22,15000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Sevilla FC,loan transfer,2019
249,Ionut Radu,Goalkeeper,22,15000000,Italy,Serie A,Inter Milan,Italy,Serie A,Genoa CFC,loan transfer,2019
250,Cristian Romero,Centre-Back,21,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,Genoa CFC,loan transfer,2019
251,Roberto Inglese,Centre-Forward,27,15000000,Italy,Serie A,SSC Napoli,Italy,Serie A,Parma Calcio 1913,loan transfer,2019
252,Davide Zappacosta,Right-Back,27,15000000,England,Premier League,Chelsea FC,Italy,Serie A,AS Roma,loan transfer,2019
253,Mohamed Elyounoussi,Left Winger,25,15000000,England,Premier League,Southampton FC,Scotland,Premiership,Celtic FC,loan transfer,2019
254,Cenk Tosun,Centre-Forward,28,15000000,England,Premier League,Everton FC,England,Premier League,Crystal Palace,loan transfer,2019
255,Ionut Radu,Goalkeeper,22,15000000,Italy,Serie A,Inter Milan,Italy,Serie A,Parma Calcio 1913,loan transfer,2019
256,Lloyd Kelly,Centre-Back,20,9000000,England,Championship,Bristol City,England,Premier League,AFC Bournemouth,14000000,2019
257,Jakub Jankto,Left Midfield,23,12000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,UC Sampdoria,14000000,2019
258,Amir Rrahmani,Centre-Back,25,6000000,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,14000000,2019
259,Manuel Locatelli,Defensive Midfield,21,12000000,Italy,Serie A,AC Milan,Italy,Serie A,US Sassuolo,14000000,2019
260,Joan Jordán,Central Midfield,24,12000000,Spain,LaLiga,SD Eibar,Spain,LaLiga,Sevilla FC,14000000,2019
261,Rémy Cabella,Attacking Midfield,29,14000000,France,Ligue 1,AS Saint-Étienne,Russia,Premier Liga,FK Krasnodar,12000000,2019
262,Breel Embolo,Centre-Forward,22,14000000,Germany,Bundesliga,FC Schalke 04,Germany,Bundesliga,Borussia Mönchengladbach,11000000,2019
263,Tonny Vilhena,Central Midfield,24,14000000,Netherlands,Eredivisie,Feyenoord Rotterdam,Russia,Premier Liga,FK Krasnodar,9000000,2019
264,Hamed Junior Traorè,Attacking Midfield,19,14000000,Italy,Serie B,Empoli FC ,Italy,Serie A,US Sassuolo,loan transfer,2019
265,Aaron Mooy,Central Midfield,28,14000000,England,Championship,Huddersfield Town,England,Premier League,Brighton & Hove Albion,loan transfer,2019
266,Jean-Kévin Augustin,Centre-Forward,22,14000000,Germany,Bundesliga,RB Leipzig,England,Championship,Leeds United,loan transfer,2019
267,Ruslan Malinovskyi,Attacking Midfield,26,12000000,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,Atalanta BC,13000000,2019
268,Henry Onyekuru,Left Winger,22,13000000,England,Premier League,Everton FC,Monaco,Ligue 1,AS Monaco,13000000,2019
269,Razvan Marin,Central Midfield,23,13000000,Belgium,Jupiler Pro League,Standard Liège,Netherlands,Eredivisie,Ajax Amsterdam,12000000,2019
270,Steven Nzonzi,Defensive Midfield,31,13000000,Italy,Serie A,AS Roma,France,Ligue 1,Stade Rennais FC,loan transfer,2019
271,Ezri Konsa,Centre-Back,21,3000000,England,Championship,Brentford FC,England,Premier League,Aston Villa,13000000,2019
272,Jeison Murillo,Centre-Back,27,8000000,Spain,LaLiga,Valencia CF,Italy,Serie A,UC Sampdoria,13000000,2019
273,Gerson,Central Midfield,22,13000000,Italy,Serie A,AS Roma,Brazil,Série A,CR Flamengo,13000000,2019
274,Christopher Nkunku,Second Striker,21,12000000,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,RB Leipzig,13000000,2019
275,Alexis Claude-Maurice,Attacking Midfield,21,7000000,France,Ligue 2,FC Lorient,France,Ligue 1,OGC Nice,13000000,2019
276,Robert Skov,Right Midfield,23,13000000,Denmark,Superligaen Championship round,FC Copenhagen,Germany,Bundesliga,TSG 1899 Hoffenheim,10000000,2019
277,Victor Osimhen,Centre-Forward,20,13000000,Germany,Bundesliga,VfL Wolfsburg,Belgium,Jupiler Pro League,RSC Charleroi,3000000,2019
278,Pol Lirola,Right-Back,21,13000000,Italy,Serie A,US Sassuolo,Italy,Serie A,ACF Fiorentina,2000000,2019
279,Ondrej Duda,Attacking Midfield,25,13000000,Germany,Bundesliga,Hertha BSC,England,Premier League,Norwich City,loan transfer,2019
280,Iago Falque,Right Winger,30,13000000,Italy,Serie A,Torino FC,Italy,Serie A,Genoa CFC,loan transfer,2019
281,Denis Suárez,Attacking Midfield,25,12000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Celta de Vigo,12000000,2019
282,Stefan Lainer,Right-Back,26,12000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Borussia Mönchengladbach,12000000,2019
283,Luuk de Jong,Centre-Forward,28,12000000,Netherlands,Eredivisie,PSV Eindhoven,Spain,LaLiga,Sevilla FC,12000000,2019
284,Isaac Mbenza,Right Winger,23,5000000,France,Ligue 1,Montpellier HSC,England,Championship,Huddersfield Town,12000000,2019
285,Stanley Nsoki,Centre-Back,20,8000000,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,OGC Nice,12000000,2019
286,Takumi Minamino,Left Winger,24,12000000,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Liverpool FC,8000000,2019
287,Nicolás Domínguez,Central Midfield,21,12000000,Argentina,Superliga,CA Vélez Sarsfield,Italy,Serie A,Bologna FC 1909,8000000,2019
288,Andy Delort,Centre-Forward,27,12000000,France,Ligue 1,FC Toulouse,France,Ligue 1,Montpellier HSC,4000000,2019
289,Nicolás Domínguez,Central Midfield,21,12000000,Italy,Serie A,Bologna FC 1909,Argentina,Superliga,CA Vélez Sarsfield,loan transfer,2019
290,Erick Pulgar,Defensive Midfield,25,10000000,Italy,Serie A,Bologna FC 1909,Italy,Serie A,ACF Fiorentina,12000000,2019
291,Simone Zaza,Centre-Forward,28,10000000,Spain,LaLiga,Valencia CF,Italy,Serie A,Torino FC,12000000,2019
292,Hannes Wolf,Left Winger,20,12000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,RB Leipzig,12000000,2019
293,Bruma,Left Winger,24,10000000,Germany,Bundesliga,RB Leipzig,Netherlands,Eredivisie,PSV Eindhoven,12000000,2019
294,Marvelous Nakamba,Defensive Midfield,25,6000000,Belgium,Jupiler Pro League,Club Brugge KV,England,Premier League,Aston Villa,12000000,2019
295,Pedro Porro,Right-Back,19,10000000,Spain,LaLiga SmartBank,Girona FC,England,Premier League,Manchester City,12000000,2019
296,Alex Kral,Defensive Midfield,21,3000000,Czech Republic,Fortuna Liga Champ. Gr.,SK Slavia Prague,Russia,Premier Liga,Spartak Moscow,12000000,2019
297,Thierry Correia,Right-Back,20,400k,Portugal,Liga NOS,Sporting CP,Spain,LaLiga,Valencia CF,12000000,2019
298,Munas Dabbur,Centre-Forward,27,10000000,Spain,LaLiga,Sevilla FC,Germany,Bundesliga,TSG 1899 Hoffenheim,12000000,2019
299,Tino Kadewere,Centre-Forward,24,4000000,France,Ligue 2,AC Le Havre,France,Ligue 1,Olympique Lyon,12000000,2019
300,Hannes Wolf,Left Winger,20,12000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,RB Leipzig,12000000,2019
301,Ally Samatta,Centre-Forward,27,12000000,Belgium,Jupiler Pro League,KRC Genk,England,Premier League,Aston Villa,10000000,2019
302,Benito Raman,Centre-Forward,24,12000000,Germany,Bundesliga,Fortuna Düsseldorf,Germany,Bundesliga,FC Schalke 04,10000000,2019
303,Álex Moreno,Left-Back,26,12000000,Spain,LaLiga SmartBank,Rayo Vallecano,Spain,LaLiga,Real Betis Balompié,9000000,2019
304,Téji Savanier,Attacking Midfield,27,12000000,France,Ligue 1,Nîmes Olympique,France,Ligue 1,Montpellier HSC,9000000,2019
305,Jacob Bruun Larsen,Left Winger,21,12000000,Germany,Bundesliga,Borussia Dortmund,Germany,Bundesliga,TSG 1899 Hoffenheim,9000000,2019
306,Ihlas Bebou,Centre-Forward,25,12000000,Germany,2. Bundesliga,Hannover 96,Germany,Bundesliga,TSG 1899 Hoffenheim,8000000,2019
307,Chicharito,Centre-Forward,31,12000000,England,Premier League,West Ham United,Spain,LaLiga,Sevilla FC,7000000,2019
308,Adem Ljajić,Attacking Midfield,27,12000000,Italy,Serie A,Torino FC,Turkey,Süper Lig,Besiktas JK,6000000,2019
309,Ellyes Skhiri,Defensive Midfield,24,12000000,France,Ligue 1,Montpellier HSC,Germany,Bundesliga,1. FC Köln,6000000,2019
310,Dyego Sousa,Centre-Forward,29,12000000,Portugal,Liga NOS,SC Braga,China,Super League,Shenzhen FC,5000000,2019
311,Aaron Mooy,Central Midfield,29,12000000,England,Championship,Huddersfield Town,England,Premier League,Brighton & Hove Albion,3000000,2019
312,Grégoire Defrel,Centre-Forward,28,12000000,Italy,Serie A,AS Roma,Italy,Serie A,US Sassuolo,3000000,2019
313,Harry Wilson,Right Winger,22,12000000,England,Premier League,Liverpool FC,England,Premier League,AFC Bournemouth,2000000,2019
314,André Schürrle,Left Winger,28,12000000,Germany,Bundesliga,Borussia Dortmund,Russia,Premier Liga,Spartak Moscow,1000000,2019
315,Diego Laxalt,Left-Back,26,12000000,Italy,Serie A,AC Milan,Italy,Serie A,Torino FC,500k,2019
316,Max Kruse,Second Striker,31,12000000,Germany,Bundesliga,SV Werder Bremen,Turkey,Süper Lig,Fenerbahce,free transfer,2019
317,Jürgen Locadia,Centre-Forward,25,12000000,England,Premier League,Brighton & Hove Albion,Germany,Bundesliga,TSG 1899 Hoffenheim,loan transfer,2019
318,Sergio Rico,Goalkeeper,26,12000000,Spain,LaLiga,Sevilla FC,France,Ligue 1,Paris Saint-Germain,loan transfer,2019
319,William Saliba,Centre-Back,18,12000000,England,Premier League,Arsenal FC,France,Ligue 1,AS Saint-Étienne,loan transfer,2019
320,Terence Kongolo,Centre-Back,25,12000000,England,Championship,Huddersfield Town,England,Championship,Fulham FC,loan transfer,2019
321,Danny Welbeck,Centre-Forward,28,12000000,England,Premier League,Arsenal FC,England,Premier League,Watford FC,free transfer,2019
322,Wesley Hoedt,Centre-Back,25,12000000,England,Premier League,Southampton FC,Belgium,Jupiler Pro League,Royal Antwerp FC,loan transfer,2019
323,Victor Wanyama,Defensive Midfield,28,12000000,England,Premier League,Tottenham Hotspur,Canada,MLS,Montreal Impact,free transfer,2019
324,Ivan Cavaleiro,Left Winger,26,10000000,England,Premier League,Wolverhampton Wanderers,England,Championship,Fulham FC,11000000,2019
325,Zinho Vanheusden,Centre-Back,19,10000000,Italy,Serie A,Inter Milan,Belgium,Jupiler Pro League,Standard Liège,11000000,2019
326,Fernando,Defensive Midfield,27,11000000,Russia,Premier Liga,Spartak Moscow,China,Super League,Beijing Guoan,5000000,2019
327,Albian Ajeti,Centre-Forward,22,7000000,Switzerland,Super League,FC Basel 1893,England,Premier League,West Ham United,11000000,2019
328,Noah Okafor,Centre-Forward,19,8000000,Switzerland,Super League,FC Basel 1893,Austria,Bundesliga,Red Bull Salzburg,11000000,2019
329,Lys Mousset,Centre-Forward,23,3000000,England,Premier League,AFC Bournemouth,England,Premier League,Sheffield United,11000000,2019
330,Pedro Neto,Right Winger,19,2000000,Portugal,Liga NOS,SC Braga,Italy,Serie A,SS Lazio,11000000,2019
331,Luciano Vietto,Centre-Forward,25,7000000,Spain,LaLiga,Atlético de Madrid,Portugal,Liga NOS,Sporting CP,11000000,2019
332,Jack Clarke,Left Winger,18,6000000,England,Championship,Leeds United,England,Premier League,Tottenham Hotspur,11000000,2019
333,Matías Vargas,Left Winger,22,11000000,Argentina,Superliga,CA Vélez Sarsfield,Spain,LaLiga,RCD Espanyol Barcelona,10000000,2019
334,Rémi Oudin,Right Winger,23,11000000,France,Ligue 1,Stade Reims,France,Ligue 1,FC Girondins Bordeaux,10000000,2019
335,Yannick Bolasie,Left Winger,30,11000000,England,Premier League,Everton FC,Portugal,Liga NOS,Sporting CP,loan transfer,2019
336,Rodolfo Pizarro,Attacking Midfield,26,10000000,Mexico,Liga MX Clausura,CF Monterrey,United States,MLS,Inter Miami CF,10000000,2019
337,Zé Luís,Centre-Forward,28,8000000,Russia,Premier Liga,Spartak Moscow,Portugal,Liga NOS,FC Porto,10000000,2019
338,Léo Duarte,Centre-Back,23,4000000,Brazil,Série A,CR Flamengo,Italy,Serie A,AC Milan,10000000,2019
339,Maximilian Wöber,Centre-Back,21,10000000,Netherlands,Eredivisie,Ajax Amsterdam,Spain,LaLiga,Sevilla FC,10000000,2019
340,Denis Vavro,Centre-Back,23,6000000,Denmark,Superligaen Championship round,FC Copenhagen,Italy,Serie A,SS Lazio,10000000,2019
341,Maximilian Wöber,Centre-Back,21,10000000,Spain,LaLiga,Sevilla FC,Austria,Bundesliga,Red Bull Salzburg,10000000,2019
342,Brian Rodríguez,Left Winger,19,1000000,Uruguay,Primera División Clausura,CA Peñarol,United States,MLS,Los Angeles FC,10000000,2019
343,Douglas Santos,Left-Back,25,10000000,Germany,2. Bundesliga,Hamburger SV,Russia,Premier Liga,Zenit St. Petersburg,13000000,2019
344,Portu,Right Winger,27,10000000,Spain,LaLiga SmartBank,Girona FC,Spain,LaLiga,Real Sociedad,10000000,2019
345,Eddie Salcedo,Centre-Forward,17,2000000,Italy,Serie A,Genoa CFC,Italy,Serie A,Inter Milan,10000000,2019
346,Djibril Sow,Central Midfield,22,9000000,Switzerland,Super League,BSC Young Boys,Germany,Bundesliga,Eintracht Frankfurt,10000000,2019
347,Timothy Weah,Right Winger,19,6000000,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,LOSC Lille,10000000,2019
348,Mahmoud Trezeguet,Left Winger,24,6000000,Turkey,Süper Lig,Kasimpasa,England,Premier League,Aston Villa,10000000,2019
349,Timo Baumgartl,Centre-Back,23,9000000,Germany,2. Bundesliga,VfB Stuttgart,Netherlands,Eredivisie,PSV Eindhoven,10000000,2019
350,Hannibal,Attacking Midfield,16,-,Monaco,Without League,AS Monaco Youth,England,U18 Premier League,Manchester United U18,10000000,2019
351,Arthur Zagré,Left-Back,17,-,France,Ligue 1,Paris Saint-Germain,Monaco,Ligue 1,AS Monaco,10000000,2019
352,Strahinja Pavlovic,Centre-Back,18,8000000,Serbia,Super liga,FK Partizan Belgrade,Monaco,Ligue 1,AS Monaco,10000000,2019
353,Santiago Ascacíbar,Defensive Midfield,22,10000000,Germany,2. Bundesliga,VfB Stuttgart,Germany,Bundesliga,Hertha BSC,10000000,2019
354,Adrián Embarba,Right Winger,27,4000000,Spain,LaLiga SmartBank,Rayo Vallecano,Spain,LaLiga,RCD Espanyol Barcelona,10000000,2019
355,Jean Marcelin,Centre-Back,19,1000000,France,Ligue 2,AJ Auxerre,Monaco,Ligue 1,AS Monaco,10000000,2019
356,Josh Brownhill,Central Midfield,24,4000000,England,Championship,Bristol City,England,Premier League,Burnley FC,10000000,2019
357,Jay Rodríguez,Centre-Forward,29,10000000,England,Championship,West Bromwich Albion,England,Premier League,Burnley FC,10000000,2019
358,Ola Aina,Right-Back,22,10000000,England,Premier League,Chelsea FC,Italy,Serie A,Torino FC,9000000,2019
359,Kevin Mbabu,Right-Back,24,10000000,Switzerland,Super League,BSC Young Boys,Germany,Bundesliga,VfL Wolfsburg,9000000,2019
360,Leandro Cabrera,Centre-Back,28,10000000,Spain,LaLiga,Getafe CF,Spain,LaLiga,RCD Espanyol Barcelona,9000000,2019
361,Bobby De Cordova-Reid,Attacking Midfield,26,10000000,Wales,Championship,Cardiff City,England,Championship,Fulham FC,8000000,2019
362,Rubén Peña,Right-Back,27,10000000,Spain,LaLiga,SD Eibar,Spain,LaLiga,Villarreal CF,8000000,2019
363,Fernando Calero,Centre-Back,23,10000000,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,RCD Espanyol Barcelona,8000000,2019
364,Ritsu Doan,Right Winger,21,10000000,Netherlands,Eredivisie,FC Groningen,Netherlands,Eredivisie,PSV Eindhoven,7000000,2019
365,Benjamin André,Defensive Midfield,28,10000000,France,Ligue 1,Stade Rennais FC,France,Ligue 1,LOSC Lille,7000000,2019
366,Eduardo Salvio,Right Winger,29,10000000,Portugal,Liga NOS,SL Benfica,Argentina,Superliga,CA Boca Juniors,7000000,2019
367,Kevin Trapp,Goalkeeper,29,10000000,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Eintracht Frankfurt,7000000,2019
368,Rogério,Left-Back,21,10000000,Italy,Serie A,Juventus FC,Italy,Serie A,US Sassuolo,6000000,2019
369,Luiz Gustavo,Defensive Midfield,32,10000000,France,Ligue 1,Olympique Marseille,Turkey,Süper Lig,Fenerbahce,6000000,2019
370,Ivan Cavaleiro,Left Winger,25,10000000,England,Premier League,Wolverhampton Wanderers,England,Championship,Fulham FC,5000000,2019
371,Gastón Pereiro,Attacking Midfield,24,10000000,Netherlands,Eredivisie,PSV Eindhoven,Italy,Serie A,Cagliari Calcio,4000000,2019
372,Tomas Soucek,Defensive Midfield,24,10000000,Czech Republic,Fortuna Liga Champ. Gr.,SK Slavia Prague,England,Premier League,West Ham United,4000000,2019
373,Marc Cucurella,Left-Back,20,10000000,Spain,LaLiga,SD Eibar,Spain,LaLiga,FC Barcelona,4000000,2019
374,Guido Rodríguez,Defensive Midfield,25,10000000,Mexico,Liga MX Clausura,CF América,Spain,LaLiga,Real Betis Balompié,4000000,2019
375,Sofyan Amrabat,Defensive Midfield,23,10000000,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,Hellas Verona,3000000,2019
376,Matteo Darmian,Right-Back,29,10000000,England,Premier League,Manchester United,Italy,Serie A,Parma Calcio 1913,2000000,2019
377,Adam Ounas,Right Winger,22,10000000,Italy,Serie A,SSC Napoli,France,Ligue 1,OGC Nice,2000000,2019
378,Marc Cucurella,Left-Back,20,10000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,SD Eibar,2000000,2019
379,Nikola Kalinic,Centre-Forward,31,10000000,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,AS Roma,2000000,2019
380,Víctor Camarasa,Central Midfield,25,10000000,Spain,LaLiga,Real Betis Balompié,England,Premier League,Crystal Palace,1000000,2019
381,Gerónimo Rulli,Goalkeeper,27,10000000,Spain,LaLiga,Real Sociedad,France,Ligue 1,Montpellier HSC,1000000,2019
382,Jean-Clair Todibo,Centre-Back,20,10000000,Spain,LaLiga,FC Barcelona,Germany,Bundesliga,FC Schalke 04,1000000,2019
383,Jony,Left Winger,28,10000000,Spain,LaLiga SmartBank,Málaga CF,Italy,Serie A,SS Lazio,1000000,2019
384,Carles Pérez,Right Winger,21,10000000,Spain,LaLiga,FC Barcelona,Italy,Serie A,AS Roma,1000000,2019
385,Davie Selke,Centre-Forward,25,10000000,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,SV Werder Bremen,1000000,2019
386,Henry Onyekuru,Left Winger,22,10000000,Monaco,Ligue 1,AS Monaco,Turkey,Süper Lig,Galatasaray,750k,2019
387,Kevin Vogt,Centre-Back,28,10000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,SV Werder Bremen,750k,2019
388,Ethan Ampadu,Centre-Back,18,10000000,England,Premier League,Chelsea FC,Germany,Bundesliga,RB Leipzig,650k,2019
389,Mattia Perin,Goalkeeper,27,10000000,Italy,Serie A,Juventus FC,Italy,Serie A,Genoa CFC,521k,2019
390,Andrea Pinamonti,Centre-Forward,20,10000000,Italy,Serie A,Inter Milan,Italy,Serie A,Genoa CFC,500k,2019
391,Marcelo Saracchi,Left-Back,21,10000000,Germany,Bundesliga,RB Leipzig,Turkey,Süper Lig,Galatasaray,500k,2019
392,Ricardo Rodríguez,Centre-Back,27,10000000,Italy,Serie A,AC Milan,Netherlands,Eredivisie,PSV Eindhoven,250k,2019
393,Jeison Murillo,Centre-Back,27,10000000,Spain,LaLiga,Valencia CF,Italy,Serie A,UC Sampdoria,loan transfer,2019
394,Yann Karamoh,Left Winger,21,10000000,Italy,Serie A,Inter Milan,Italy,Serie A,Parma Calcio 1913,loan transfer,2019
395,Marc Cucurella,Left-Back,20,10000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Getafe CF,loan transfer,2019
396,Jesús Vallejo,Centre-Back,22,10000000,Spain,LaLiga,Real Madrid,England,Premier League,Wolverhampton Wanderers,loan transfer,2019
397,Bobby De Cordova-Reid,Attacking Midfield,26,10000000,Wales,Championship,Cardiff City,England,Championship,Fulham FC,loan transfer,2019
398,Pedro Porro,Right-Back,19,10000000,England,Premier League,Manchester City,Spain,LaLiga,Real Valladolid CF,loan transfer,2019
399,Eliaquim Mangala,Centre-Back,28,10000000,England,Premier League,Manchester City,Spain,LaLiga,Valencia CF,free transfer,2019
400,Cucho Hernández,Centre-Forward,20,10000000,England,Premier League,Watford FC,Spain,LaLiga,RCD Mallorca,loan transfer,2019
401,Dalbert,Left-Back,25,10000000,Italy,Serie A,Inter Milan,Italy,Serie A,ACF Fiorentina,loan transfer,2019
402,Cristiano Biraghi,Left-Back,26,10000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Inter Milan,loan transfer,2019
403,Youssef Aït Bennasser,Defensive Midfield,23,10000000,Monaco,Ligue 1,AS Monaco,France,Ligue 1,FC Girondins Bordeaux,loan transfer,2019
404,Oliver Burke,Centre-Forward,22,10000000,England,Championship,West Bromwich Albion,Spain,LaLiga,Deportivo Alavés,loan transfer,2019
405,Kenedy,Left Winger,23,10000000,England,Premier League,Chelsea FC,Spain,LaLiga,Getafe CF,loan transfer,2019
406,Javi Montero,Centre-Back,20,10000000,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga SmartBank,Deportivo de La Coruña,loan transfer,2019
407,Radamel Falcao,Centre-Forward,33,10000000,Monaco,Ligue 1,AS Monaco,Turkey,Süper Lig,Galatasaray,free transfer,2019
