,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
47,Benjamin Pavard,Right-Back,23,30000000,Germany,2. Bundesliga,VfB Stuttgart,Germany,Bundesliga,Bayern Munich,35000000,2019
48,Jasper Cillessen,Goalkeeper,30,18000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Valencia CF,35000000,2019
49,Jules Koundé,Centre-Back,20,15000000,France,Ligue 1,FC Girondins Bordeaux,Spain,LaLiga,Sevilla FC,35000000,2019
50,Dejan Kulusevski,Right Winger,19,25000000,Italy,Serie A,Atalanta BC,Italy,Serie A,Juventus FC,35000000,2019
51,Abdou Diallo,Centre-Back,23,35000000,Germany,Bundesliga,Borussia Dortmund,France,Ligue 1,Paris Saint-Germain,32000000,2019
52,Mats Hummels,Centre-Back,30,35000000,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,Borussia Dortmund,30000000,2019
53,Steven Bergwijn,Left Winger,22,35000000,Netherlands,Eredivisie,PSV Eindhoven,England,Premier League,Tottenham Hotspur,30000000,2019
54,Dani Olmo,Attacking Midfield,21,35000000,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Germany,Bundesliga,RB Leipzig,29000000,2019
55,Ryan Sessegnon,Left Midfield,19,35000000,England,Championship,Fulham FC,England,Premier League,Tottenham Hotspur,27000000,2019
56,Marko Arnautovic,Centre-Forward,30,35000000,England,Premier League,West Ham United,China,Super League,Shanghai SIPG,25000000,2019
57,Kieran Trippier,Right-Back,28,35000000,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Atlético de Madrid,22000000,2019
58,Tiemoué Bakayoko,Defensive Midfield,25,35000000,England,Premier League,Chelsea FC,Monaco,Ligue 1,AS Monaco,3000000,2019
59,Adrien Rabiot,Central Midfield,24,35000000,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,free transfer,2019
60,Alexis Sánchez,Centre-Forward,30,35000000,England,Premier League,Manchester United,Italy,Serie A,Inter Milan,loan transfer,2019
61,Ayoze Pérez,Second Striker,25,20000000,England,Premier League,Newcastle United,England,Premier League,Leicester City,33000000,2019
62,Franck Kessié,Central Midfield,22,33000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Milan,32000000,2019
63,Kerem Demirbay,Central Midfield,25,32000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,Bayer 04 Leverkusen,32000000,2019
64,Krzysztof Piatek,Centre-Forward,24,32000000,Italy,Serie A,AC Milan,Germany,Bundesliga,Hertha BSC,24000000,2019
65,Cristian Romero,Centre-Back,21,15000000,Italy,Serie A,Genoa CFC,Italy,Serie A,Juventus FC,31000000,2019
66,Alex Iwobi,Attacking Midfield,23,25000000,England,Premier League,Arsenal FC,England,Premier League,Everton FC,30000000,2019
