;name;position;age;market_value;country_from;league_from;club_from;country_to;league_to;club_to;fee
805;Aaron Connolly;Centre-Forward;22;5000000;England;Premier League;Brighton & Hove Albion;England;Championship;Hull City;0
806;Shane Duffy;Centre-Back;30;5000000;England;Premier League;Brighton & Hove Albion;England;Premier League;Fulham FC;0
807;Steven Alzate;Central Midfield;23;5000000;England;Premier League;Brighton & Hove Albion;Belgium;Jupiler Pro League;Standard Liège;0
808;Sebastian Walukiewicz;Centre-Back;22;5000000;Italy;Serie B;Cagliari Calcio;Italy;Serie A;FC Empoli;0
809;Nathanaël Mbuku;Left Winger;20;5000000;France;Ligue 1;Stade Reims;Germany;Bundesliga;FC Augsburg;0
810;Calegari;Right-Back;21;5000000;Brazil;Carioca - Taça Guanabara;Fluminense Football Club;United States;MLS;Los Angeles Galaxy;0
811;Yacine Brahimi;Left Winger;32;5000000;Qatar;Stars League;Al-Rayyan SC;Qatar;Stars League;Al-Gharafa SC;0
812;David Ospina;Goalkeeper;33;5000000;Italy;Serie A;SSC Napoli;Saudi Arabia;Saudi Pro League;Al-Nassr FC;0
813;Ian Maatsen;Left-Back;20;5000000;England;Premier League 2;Chelsea FC U21;England;Championship;Burnley FC;0
814;Levi Colwill;Centre-Back;19;5000000;England;Premier League 2;Chelsea FC U21;England;Premier League;Brighton & Hove Albion;0
815;Carlos Salcedo;Centre-Back;28;5000000;Canada;MLS;Toronto FC;Mexico;Liga MX Clausura;FC Juárez;0
816;Vincent Aboubakar;Centre-Forward;30;5000000;Saudi Arabia;Saudi Pro League;Al-Nassr FC;Turkey;Süper Lig;Besiktas JK;0
817;Hugo Novoa;Right Winger;19;5000000;Germany;Bundesliga;RB Leipzig;Switzerland;Super League;FC Basel 1893;0
818;Aaron Mooy;Central Midfield;31;5000000;China;Super League;Shanghai Port;Scotland;Premiership;Celtic FC;0
820;Nicolás Acevedo;Defensive Midfield;23;5000000;United States;MLS;New York City FC;Brazil;Nordeste - Fase de Grupos;Esporte Clube Bahia;0
821;Marcelino Moreno;Attacking Midfield;27;5000000;United States;MLS;Atlanta United FC;Brazil;Série A;Coritiba Foot Ball Club;0
822;Josef Martínez;Centre-Forward;29;5000000;United States;MLS;Atlanta United FC;United States;MLS;Inter Miami CF;0
824;Dia Saba;Attacking Midfield;29;4000000;United Arab Emirates;UAE Pro League;Al-Nasr SC (UAE);Turkey;Süper Lig;Sivasspor;0
856;Gonzalo Villar;Central Midfield;24;4000000;Italy;Serie A;AS Roma;Spain;LaLiga;Getafe CF;0
857;Jordan Beyer;Centre-Back;22;4000000;Germany;Bundesliga;Borussia Mönchengladbach;England;Championship;Burnley FC;0
858;Dimitrios Pelkas;Attacking Midfield;28;4000000;Turkey;Süper Lig;Fenerbahce;England;Championship;Hull City;0
859;Ronaël Pierre-Gabriel;Right-Back;24;4000000;Germany;Bundesliga;1.FSV Mainz 05;Spain;LaLiga;RCD Espanyol Barcelona;0
860;Linus Gechter;Centre-Back;18;4000000;Germany;Bundesliga;Hertha BSC;Germany;2. Bundesliga;Eintracht Braunschweig;0
861;Wylan Cyprien;Central Midfield;27;4000000;Italy;Serie B;Parma Calcio 1913;Switzerland;Super League;FC Sion;0
862;Omar Khribin;Centre-Forward;28;4000000;United Arab Emirates;UAE Pro League;Al-Wahda FC Abu Dhabi;United Arab Emirates;UAE Pro League;FC Shabab Al-Ahli Dubai;0
863;Michael Gregoritsch;Centre-Forward;28;4000000;Germany;Bundesliga;FC Augsburg;Germany;Bundesliga;SC Freiburg;0
864;Gabriel Pirani;Attacking Midfield;20;4000000;Brazil;Série A;Santos FC;Brazil;Série A;Cuiabá Esporte Clube (MT);0
865;Koray Günter;Centre-Back;28;4000000;Italy;Serie A;Hellas Verona;Italy;Serie A;UC Sampdoria;0
866;Benjamin Verbic;Left Winger;28;4000000;Ukraine;Premier Liga;Dynamo Kyiv;Greece;Super League 1;Panathinaikos Athens;0
867;Oliver Burke;Centre-Forward;25;4000000;England;Championship;Sheffield United;Germany;Bundesliga;SV Werder Bremen;0
868;Federico Gattoni;Centre-Back;23;4000000;Spain;LaLiga;Sevilla FC;Argentina;Liga Profesional;CA San Lorenzo de Almagro;0
869;Yorbe Vertessen;Centre-Forward;22;4000000;Netherlands;Eredivisie;PSV Eindhoven;Belgium;Jupiler Pro League;Royale Union Saint Gilloise;0
870;Emirhan Ilkhan;Central Midfield;18;4000000;Italy;Serie A;Torino FC;Italy;Serie A;UC Sampdoria;0
872;Gaël Kakuta;Attacking Midfield;31;4000000;France;Ligue 1;RC Lens;France;Ligue 2;Amiens SC;0
873;Junior Sambia;Right-Back;25;4000000;France;Ligue 1;Montpellier HSC;Italy;Serie A;US Salernitana 1919;0
874;Emanuel Vignato;Right Winger;22;4000000;Italy;Serie A;Bologna FC 1909;Italy;Serie A;FC Empoli;0
875;Michael Frey;Centre-Forward;28;4000000;Belgium;Jupiler Pro League;Royal Antwerp FC;Germany;Bundesliga;FC Schalke 04;0
876;Ilan Kebbal;Attacking Midfield;24;4000000;France;Ligue 1;Stade Reims;France;Ligue 2;Paris FC;0
878;Dia Saba;Attacking Midfield;30;4000000;Turkey;Süper Lig;Sivasspor;Israel;Ligat ha'Al;Maccabi Haifa;0
879;Vinicius Souza;Defensive Midfield;23;4000000;Belgium;Challenger Pro League;Lommel SK;Spain;LaLiga;RCD Espanyol Barcelona;0
881;Bernard;Attacking Midfield;29;4000000;United Arab Emirates;UAE Pro League;Sharjah FC;Greece;Super League 1;Panathinaikos Athens;0
882;Germán Berterame;Centre-Forward;23;4000000;Mexico;Liga MX Clausura;Atlético de San Luis;Mexico;Liga MX Clausura;CF Monterrey;0
889;Djaniny;Centre-Forward;31;4000000;Turkey;Süper Lig;Trabzonspor;United Arab Emirates;UAE Pro League;Sharjah FC;0
890;Stefano Denswil;Centre-Back;29;4000000;Italy;Serie A;Bologna FC 1909;Turkey;Süper Lig;Trabzonspor;0
893;Ayoub El Kaabi;Centre-Forward;29;4000000;Turkey;Süper Lig;Hatayspor;Qatar;Stars League;Al-Sadd SC;0
957;Ondrej Duda;Attacking Midfield;28;4000000;Germany;Bundesliga;1. FC Köln;Italy;Serie A;Hellas Verona;0
958;Samu Castillejo;Right Winger;27;4000000;Italy;Serie A;AC Milan;Spain;LaLiga;Valencia CF;0
959;Cédric Soares;Right-Back;31;4000000;England;Premier League;Arsenal FC;England;Premier League;Fulham FC;0
960;Folarin Balogun;Centre-Forward;21;4000000;England;Premier League;Arsenal FC;France;Ligue 1;Stade Reims;0
961;Axel Witsel;Defensive Midfield;33;4000000;Germany;Bundesliga;Borussia Dortmund;Spain;LaLiga;Atlético de Madrid;0
962;Krystian Bielik;Defensive Midfield;24;4000000;England;League One;Derby County;England;Championship;Birmingham City;0
963;Jonjoe Kenny;Right-Back;25;4000000;England;Premier League;Everton FC;Germany;Bundesliga;Hertha BSC;0
964;Rhys Williams;Centre-Back;21;4000000;England;Premier League;Liverpool FC;England;Championship;Blackpool FC;0
965;Jordan Larsson;Right Winger;25;4000000;Germany;Bundesliga;FC Schalke 04;Denmark;Superligaen;FC Copenhagen;0
966;Jean-Paul Boëtius;Attacking Midfield;28;4000000;Germany;Bundesliga;1.FSV Mainz 05;Germany;Bundesliga;Hertha BSC;0
967;M'Baye Niang;Centre-Forward;27;4000000;France;Ligue 2;FC Girondins Bordeaux;France;Ligue 1;AJ Auxerre;0
969;Álex Collado;Right Winger;23;4000000;Spain;LaLiga;FC Barcelona;Spain;LaLiga;Elche CF;0
970;Willian;Left Winger;34;4000000;Brazil;Série A;Sport Club Corinthians Paulista;England;Premier League;Fulham FC;0
971;Nemanja Radonjić;Left Winger;26;4000000;France;Ligue 1;Olympique Marseille;Italy;Serie A;Torino FC;0
972;Issa Kaboré;Right-Back;21;4000000;England;Premier League;Manchester City;France;Ligue 1;Olympique Marseille;0
973;Pizzi;Attacking Midfield;32;4000000;Portugal;Liga Portugal;SL Benfica;United Arab Emirates;UAE Pro League;Al-Wahda FC Abu Dhabi;0
974;Eduardo Quaresma;Centre-Back;20;4000000;Portugal;Liga Portugal;Sporting CP;Germany;Bundesliga;TSG 1899 Hoffenheim;0
975;Ivan Sunjic;Defensive Midfield;25;4000000;England;Championship;Birmingham City;Germany;Bundesliga;Hertha BSC;0
976;Ludwig Augustinsson;Left-Back;28;4000000;Spain;LaLiga;Sevilla FC;Spain;LaLiga;RCD Mallorca;0
977;Oussama Idrissi;Left Winger;26;4000000;Spain;LaLiga;Sevilla FC;Netherlands;Eredivisie;Feyenoord Rotterdam;0
978;Rony Lopes;Right Winger;26;4000000;Spain;LaLiga;Sevilla FC;France;Ligue 1;ESTAC Troyes;0
979;Francesco Acerbi;Centre-Back;34;4000000;Italy;Serie A;SS Lazio;Italy;Serie A;Inter Milan;0
980;Kortney Hause;Centre-Back;27;4000000;England;Premier League;Aston Villa;England;Championship;Watford FC;0
981;Hassane Kamara;Left-Back;28;4000000;Italy;Serie A;Udinese Calcio;England;Championship;Watford FC;0
984;Abdelhamid Sabiri;Attacking Midfield;26;4000000;Italy;Serie A;ACF Fiorentina;Italy;Serie A;UC Sampdoria;0
985;Felix Mambimbi;Left Winger;21;4000000;Switzerland;Super League;BSC Young Boys;Netherlands;Eredivisie;SC Cambuur Leeuwarden;0
986;Danilho Doekhi;Centre-Back;24;4000000;Netherlands;Eredivisie;Vitesse Arnhem;Germany;Bundesliga;1.FC Union Berlin;0
987;Erison;Centre-Forward;23;4000000;Brazil;Carioca - Taça Guanabara;Botafogo de Futebol e Regatas;Brazil;Paulistão A1 - Primeira fase;São Paulo Futebol Clube;0
988;Erison;Centre-Forward;23;4000000;Brazil;Série A;Botafogo de Futebol e Regatas;Portugal;Liga Portugal;GD Estoril Praia;0
989;Ki-Jana Hoever;Right-Back;21;4000000;England;Premier League;Wolverhampton Wanderers;England;Championship;Stoke City;0
990;Ander Herrera;Central Midfield;33;4000000;France;Ligue 1;Paris Saint-Germain;Spain;LaLiga;Athletic Bilbao;0
991;Xavi Simons;Attacking Midfield;19;4000000;France;Ligue 1;Paris Saint-Germain;Netherlands;Eredivisie;PSV Eindhoven;0
992;Mattia Aramu;Attacking Midfield;27;4000000;Italy;Serie B;Venezia FC;Italy;Serie B;Genoa CFC;0
993;Danilo;Centre-Forward;23;4000000;Netherlands;Eredivisie;Ajax Amsterdam;Netherlands;Eredivisie;Feyenoord Rotterdam;0
994;Arnaud Nordin;Right Winger;24;4000000;France;Ligue 2;AS Saint-Étienne;France;Ligue 1;Montpellier HSC;0
995;Wahbi Khazri;Centre-Forward;31;4000000;France;Ligue 2;AS Saint-Étienne;France;Ligue 1;Montpellier HSC;0
996;Harold Moukoudi;Centre-Back;24;4000000;France;Ligue 2;AS Saint-Étienne;Greece;Super League 1;AEK Athens;0
997;Unai López;Central Midfield;26;4000000;Spain;LaLiga;Athletic Bilbao;Spain;LaLiga;Rayo Vallecano;0
999;Joseba Zaldua;Right-Back;30;4000000;Spain;LaLiga;Real Sociedad;Spain;LaLiga;Cádiz CF;0
1000;Aguibou Camara;Attacking Midfield;21;4000000;Greece;Super League 1;Olympiacos Piraeus;Greece;Super League 1;Atromitos Athen;0
1001;Andreas Bouchalakis;Central Midfield;29;4000000;Greece;Super League 1;Olympiacos Piraeus;Turkey;Süper Lig;Konyaspor;0
1002;Mamadou Loum;Defensive Midfield;25;4000000;Portugal;Liga Portugal;FC Porto;England;Championship;Reading FC;0
1003;Roberto Piccoli;Centre-Forward;21;4000000;Italy;Serie A;Atalanta BC;Italy;Serie A;Hellas Verona;0
1004;Luis Suárez;Centre-Forward;35;4000000;Uruguay;Primera División Apertura;Club Nacional;Brazil;Campeonato Gaúcho;Grêmio Foot-Ball Porto Alegrense;0
1005;Cheikhou Kouyaté;Defensive Midfield;32;4000000;England;Premier League;Crystal Palace;England;Premier League;Nottingham Forest;0
1006;Orbelín Pineda;Central Midfield;26;4000000;Spain;LaLiga;Celta de Vigo;Greece;Super League 1;AEK Athens;0
1007;Shola Shoretire;Right Winger;18;4000000;England;Premier League;Manchester United;England;League One;Bolton Wanderers;0
1008;Edinson Cavani;Centre-Forward;35;4000000;England;Premier League;Manchester United;Spain;LaLiga;Valencia CF;0
1009;Hamza Choudhury;Defensive Midfield;24;4000000;England;Premier League;Leicester City;England;Championship;Watford FC;0
1010;Vakoun Bayo;Centre-Forward;26;4000000;England;Championship;Watford FC;Belgium;Jupiler Pro League;RSC Charleroi;0
1011;Manu Morlanes;Central Midfield;24;4000000;Spain;LaLiga;Villarreal CF;Spain;LaLiga;RCD Mallorca;0
1012;Sergio Asenjo;Goalkeeper;33;4000000;Spain;LaLiga;Villarreal CF;Spain;LaLiga;Real Valladolid CF;0
1013;Francisco Moura;Left-Back;23;4000000;Portugal;Liga Portugal;SC Braga;Portugal;Liga Portugal;FC Famalicão;0
1014;Mads Bech Sörensen;Centre-Back;24;4000000;England;Premier League;Brentford FC;Netherlands;Eredivisie;FC Groningen;0
1015;Cole Bassett;Attacking Midfield;21;4000000;United States;MLS;Colorado Rapids;Netherlands;Eredivisie;Fortuna Sittard;0
1016;Brian Lozano;Left Winger;28;4000000;Mexico;Liga MX Clausura;Santos Laguna;Mexico;Liga MX Clausura;Atlas Guadalajara;0
1017;Brian Lozano;Left Winger;28;4000000;Mexico;Liga MX Clausura;Santos Laguna;Uruguay;Primera División Clausura;CA Peñarol;0
1018;Stéphane Bahoken;Centre-Forward;30;4000000;France;Ligue 1;Angers SCO;Turkey;Süper Lig;Kasimpasa;0
1019;Michael Obafemi;Centre-Forward;22;4000000;Wales;Championship;Swansea City;England;Championship;Burnley FC;0
1020;Chidozie Awaziem;Centre-Back;25;4000000;Portugal;Liga Portugal;Boavista FC;Croatia;SuperSport HNL;HNK Hajduk Split;0
1021;Jens Jönsson;Defensive Midfield;29;4000000;Spain;LaLiga;Cádiz CF;Greece;Super League 1;AEK Athens;0
1022;Andrea Carboni;Centre-Back;21;4000000;Italy;Serie A;AC Monza;Italy;Serie B;Venezia FC;0
1023;Dogukan Sinik;Left Winger;23;4000000;England;Championship;Hull City;Turkey;Süper Lig;Antalyaspor;0
1024;Mathieu Cafaro;Left Winger;25;4000000;Belgium;Jupiler Pro League;Standard Liège;France;Ligue 2;AS Saint-Étienne;0
1025;José Luis Morales;Centre-Forward;34;4000000;Spain;LaLiga2;Levante UD;Spain;LaLiga;Villarreal CF;0
1026;Akim Zedadka;Right-Back;27;4000000;France;Ligue 1;Clermont Foot 63;France;Ligue 1;LOSC Lille;0
1027;Jakub Jankto;Left Midfield;26;4000000;Spain;LaLiga;Getafe CF;Czech Republic;Fortuna Liga;AC Sparta Prague;0
1028;Jaime Seoane;Central Midfield;25;4000000;Spain;LaLiga2;SD Huesca;Spain;LaLiga;Getafe CF;0
1029;Alessandro Zanoli;Right-Back;22;4000000;Italy;Serie A;SSC Napoli;Italy;Serie A;UC Sampdoria;0
1030;Dries Mertens;Second Striker;35;4000000;Italy;Serie A;SSC Napoli;Turkey;Süper Lig;Galatasaray;0
1031;Janis Antiste;Centre-Forward;20;4000000;Italy;Serie A;US Sassuolo;France;Ligue 2;Amiens SC;0
1032;Filip Djuricic;Attacking Midfield;30;4000000;Italy;Serie A;US Sassuolo;Italy;Serie A;UC Sampdoria;0
1033;Mounir Chouiar;Left Winger;24;4000000;Turkey;Süper Lig;Basaksehir FK;Turkey;Süper Lig;Kasimpasa;0
1034;Adama Traoré;Attacking Midfield;27;4000000;Turkey;Süper Lig;Hatayspor;England;Championship;Hull City;0
1035;Erik Botheim;Centre-Forward;22;4000000;Russia;Premier Liga;FK Krasnodar;Italy;Serie A;US Salernitana 1919;0
1036;Matías Arezo;Centre-Forward;20;4000000;Spain;LaLiga2;Granada CF;Uruguay;Primera División Apertura;CA Peñarol;0
1038;Alexandru Mitrita;Left Winger;27;4000000;United States;MLS;New York City FC;Saudi Arabia;Saudi Pro League;Al-Raed;0
1039;Darwin Machís;Left Winger;29;4000000;Mexico;Liga MX Clausura;FC Juárez;Spain;LaLiga;Real Valladolid CF;0
1040;Alejandro Pozuelo;Attacking Midfield;31;4000000;United States;MLS;Inter Miami CF;Turkey;Süper Lig;Konyaspor;0
1041;Matías Pellegrini;Left Winger;22;4000000;United States;MLS;Inter Miami CF;United States;MLS;New York City FC;0
1048;Eduardo Salvio;Right Winger;31;3000000;Argentina;Liga Profesional;CA Boca Juniors;Mexico;Liga MX Clausura;UNAM Pumas;0
1055;Bruma;Left Winger;28;3000000;Turkey;Süper Lig;Fenerbahce;Portugal;Liga Portugal;SC Braga;0
1101;Ola Solbakken;Right Winger;24;3000000;Norway;Eliteserien;FK Bodø/Glimt;Italy;Serie A;AS Roma;0
1102;Jérôme Onguéné;Centre-Back;24;3000000;Austria;Bundesliga;Red Bull Salzburg;Germany;Bundesliga;Eintracht Frankfurt;0
1103;Lee Buchanan;Left-Back;21;3000000;England;League One;Derby County;Germany;Bundesliga;SV Werder Bremen;0
1104;Janik Haberer;Central Midfield;28;3000000;Germany;Bundesliga;SC Freiburg;Germany;Bundesliga;1.FC Union Berlin;0
1105;Alexandru Maxim;Attacking Midfield;32;3000000;Turkey;Süper Lig;Gaziantep FK;Turkey;Süper Lig;Besiktas JK;0
1107;Facundo Kruspzky;Left Winger;20;3000000;Argentina;Liga Profesional;Arsenal Fútbol Club;United Arab Emirates;UAE Pro League;Al-Wahda FC Abu Dhabi;0
1108;Kelvin Yeboah;Centre-Forward;22;3000000;Italy;Serie B;Genoa CFC;Germany;Bundesliga;FC Augsburg;0
1109;Alexis Sánchez;Centre-Forward;33;3000000;Italy;Serie A;Inter Milan;France;Ligue 1;Olympique Marseille;0
1110;Radu Dragusin;Centre-Back;20;3000000;Italy;Serie A;Juventus FC;Italy;Serie B;Genoa CFC;0
1111;George Puscas;Centre-Forward;26;3000000;England;Championship;Reading FC;Italy;Serie B;Genoa CFC;0
1113;Ionut Radu;Goalkeeper;25;3000000;Italy;Serie A;Inter Milan;France;Ligue 1;AJ Auxerre;0
1114;Mihailo Ristić;Left-Back;26;3000000;France;Ligue 1;Montpellier HSC;Portugal;Liga Portugal;SL Benfica;0
1115;Sebastiano Esposito;Centre-Forward;20;3000000;Italy;Serie A;Inter Milan;Italy;Serie B;SSC Bari;0
1116;Eddie Salcedo;Centre-Forward;20;3000000;Italy;Serie A;Inter Milan;Italy;Serie B;SSC Bari;0
1117;Martin Hongla;Defensive Midfield;24;3000000;Italy;Serie A;Hellas Verona;Spain;LaLiga;Real Valladolid CF;0
1118;Matías Vecino;Central Midfield;30;3000000;Italy;Serie A;Inter Milan;Italy;Serie A;SS Lazio;0
1119;Jérôme Onguéné;Centre-Back;25;3000000;Germany;Bundesliga;Eintracht Frankfurt;Austria;Bundesliga;Red Bull Salzburg;0
1120;Festy Ebosele;Right-Back;19;3000000;England;League One;Derby County;Italy;Serie A;Udinese Calcio;0
1121;Ferro;Centre-Back;25;3000000;Portugal;Liga Portugal;SL Benfica;Netherlands;Eredivisie;Vitesse Arnhem;0
1122;Danilo Barbosa;Defensive Midfield;26;3000000;France;Ligue 1;OGC Nice;Brazil;Série A;Botafogo de Futebol e Regatas;0
1123;Shoya Nakajima;Attacking Midfield;28;3000000;Portugal;Liga Portugal;FC Porto;Turkey;Süper Lig;Antalyaspor;0
1124;Aboubakar Kamara;Centre-Forward;27;3000000;Greece;Super League 1;Olympiacos Piraeus;Greece;Super League 1;Aris Thessaloniki;0
1125;Martin Hongla;Defensive Midfield;24;3000000;Italy;Serie A;Hellas Verona;Spain;LaLiga;Real Valladolid CF;0
1126;Manuel Castro;Right Midfield;27;3000000;Argentina;Liga Profesional;Club Estudiantes de La Plata;Mexico;Liga MX Clausura;FC Juárez;0
1127;Ferro;Centre-Back;25;3000000;Portugal;Liga Portugal;SL Benfica;Netherlands;Eredivisie;Vitesse Arnhem;0
1128;Ibrahima Niane;Centre-Forward;23;3000000;France;Ligue 2;FC Metz;France;Ligue 1;Angers SCO;0
1129;Farid Boulaya;Attacking Midfield;29;3000000;France;Ligue 2;FC Metz;Qatar;Stars League;Al-Gharafa SC;0
1130;Callum Styles;Central Midfield;22;3000000;England;League One;Barnsley FC;England;Championship;Millwall FC;0
1131;Jérôme Onguéné;Centre-Back;24;3000000;Austria;Bundesliga;Red Bull Salzburg;Germany;Bundesliga;Eintracht Frankfurt;0
1132;Danilo Barbosa;Defensive Midfield;26;3000000;France;Ligue 1;OGC Nice;Brazil;Série A;Botafogo de Futebol e Regatas;0
1133;Antonio Blanco;Defensive Midfield;22;3000000;Spain;LaLiga;Real Madrid;Spain;LaLiga2;Deportivo Alavés;0
1134;Ola Solbakken;Right Winger;24;3000000;Norway;Eliteserien;FK Bodø/Glimt;Italy;Serie A;AS Roma;0
1135;Douglas Costa;Right Winger;31;3000000;Italy;Serie A;Juventus FC;United States;MLS;Los Angeles Galaxy;0
1136;Radu Dragusin;Centre-Back;20;3000000;Italy;Serie A;Juventus FC;Italy;Serie B;Genoa CFC;0
1137;Marko Pjaca;Left Winger;27;3000000;Italy;Serie A;Juventus FC;Italy;Serie A;FC Empoli;0
1138;Kanu;Centre-Back;25;3000000;Brazil;Carioca - Taça Guanabara;Botafogo de Futebol e Regatas;Brazil;Nordeste - Fase de Grupos;Esporte Clube Bahia;0
1140;Michaël Cuisance;Central Midfield;23;3000000;Italy;Serie B;Venezia FC;Italy;Serie A;UC Sampdoria;0
1141;Vitinho;Left Winger;28;3000000;Brazil;Série A;CR Flamengo;Saudi Arabia;Saudi Pro League;Ettifaq FC;0
1142;Ismaily;Left-Back;32;3000000;Ukraine;Premier Liga;Shakhtar Donetsk;France;Ligue 1;LOSC Lille;0
1143;Lucas Halter;Centre-Back;22;3000000;Brazil;Série A;Club Athletico Paranaense;Brazil;Série A;Goiás Esporte Clube;0
1144;Aboubakar Kamara;Centre-Forward;27;3000000;Greece;Super League 1;Olympiacos Piraeus;Greece;Super League 1;Aris Thessaloniki;0
1145;Pêpê;Central Midfield;25;3000000;Greece;Super League 1;Olympiacos Piraeus;Turkey;Süper Lig;MKE Ankaragücü;0
1146;Shoya Nakajima;Attacking Midfield;28;3000000;Portugal;Liga Portugal;FC Porto;Turkey;Süper Lig;Antalyaspor;0
1147;Roberto Piccoli;Centre-Forward;22;3000000;Italy;Serie A;Atalanta BC;Italy;Serie A;FC Empoli;0
1148;Mihailo Ristić;Left-Back;26;3000000;France;Ligue 1;Montpellier HSC;Portugal;Liga Portugal;SL Benfica;0
1149;George Puscas;Centre-Forward;26;3000000;England;Championship;Reading FC;Italy;Serie B;Genoa CFC;0
1150;Fabiano Silva;Right-Back;22;3000000;Portugal;Liga Portugal;SC Braga;Turkey;Süper Lig;Kasimpasa;0
1151;Zinedine Ferhat;Right Winger;29;3000000;France;Ligue 2;Nîmes Olympique;Turkey;Süper Lig;Alanyaspor;0
1152;Domingo Blanco;Central Midfield;27;3000000;Argentina;Liga Profesional;CA Independiente;Ukraine;Premier Liga;SK Dnipro-1;0
1153;Juan Fernando Quintero;Attacking Midfield;29;3000000;China;Super League;Shenzhen FC;Colombia;Liga Dimayor I;Junior FC;0
1154;Bradley Locko;Left-Back;20;3000000;France;Ligue 1;Stade Reims;France;Ligue 1;Stade Brestois 29;0
1155;Alexis Canelo;Centre-Forward;30;3000000;Mexico;Liga MX Clausura;Deportivo Toluca;Mexico;Liga MX Clausura;Club Tijuana;0
1156;Óscar Estupiñán;Centre-Forward;25;3000000;Portugal;Liga Portugal;Vitória Guimarães SC;England;Championship;Hull City;0
1157;Marlon;Left-Back;25;3000000;Brazil;Série A;Fluminense Football Club;Turkey;Süper Lig;MKE Ankaragücü;0
1158;Salvatore Esposito;Defensive Midfield;22;3000000;Italy;Serie B;SPAL;Italy;Serie A;Spezia Calcio;0
1159;Alexandru Maxim;Attacking Midfield;32;3000000;Turkey;Süper Lig;Gaziantep FK;Turkey;Süper Lig;Besiktas JK;0
1160;Juan Otero;Right Winger;27;3000000;Mexico;Liga MX Clausura;CF América;Spain;LaLiga2;Sporting Gijón;0
1161;Facundo Kruspzky;Left Winger;20;3000000;Argentina;Liga Profesional;Arsenal Fútbol Club;United Arab Emirates;UAE Pro League;Al-Wahda FC Abu Dhabi;0
1162;Omar Fernández;Left Winger;29;3000000;Mexico;Liga MX Clausura;Club León FC;Mexico;Liga MX Clausura;Puebla FC;0
1163;Caio Alexandre;Central Midfield;23;3000000;Canada;MLS;Vancouver Whitecaps FC;Brazil;Série A;Fortaleza Esporte Clube;0
1164;Luca Moro;Centre-Forward;21;3000000;Italy;Serie A;US Sassuolo;Italy;Serie B;Frosinone Calcio;0
1165;Di'Shon Bernard;Centre-Back;22;3000000;England;Premier League 2;Manchester United U21;England;League One;Portsmouth FC;0
1167;Cecilio Domínguez;Left Winger;27;3000000;United States;MLS;Austin FC;Mexico;Liga MX Clausura;Santos Laguna;0
1171;Ahmed Musa;Right Winger;29;3000000;Turkey;Süper Lig;Fatih Karagümrük;Turkey;Süper Lig;Sivasspor;0
1172;Saba Lobzhanidze;Left Winger;28;3000000;Turkey;Süper Lig;Hatayspor;Turkey;Süper Lig;Fatih Karagümrük;0
1181;Cédric Brunner;Right-Back;28;3000000;Germany;2. Bundesliga;Arminia Bielefeld;Germany;Bundesliga;FC Schalke 04;0
1182;Patrick van Aanholt;Left-Back;32;3000000;Turkey;Süper Lig;Galatasaray;Netherlands;Eredivisie;PSV Eindhoven;0
1183;Jorge Morel;Defensive Midfield;25;3000000;Paraguay;Primera División Apertura;Club Guaraní;Turkey;Süper Lig;Adana Demirspor;0
1100;Roman Evgenjev;Centre-Back;23;3000000;Russia;Premier Liga;Dynamo Moscow;Russia;Premier Liga;Krylya Sovetov Samara;25000
1180;Ebrima Colley;Right Winger;22;3000000;Italy;Serie A;Atalanta BC;Turkey;Süper Lig;Fatih Karagümrük;50000
956;Caio Paulista;Right Winger;24;4000000;Brazil;Carioca - Taça Guanabara;Fluminense Football Club;Brazil;Paulistão A1 - Primeira fase;São Paulo Futebol Clube;90000
468;Alejandro Pozuelo;Attacking Midfield;30;8000000;Canada;MLS;Toronto FC;United States;MLS;Inter Miami CF;136000
1097;Olimpiu Morutan;Attacking Midfield;23;3000000;Turkey;Süper Lig;Galatasaray;Italy;Serie B;Pisa Sporting Club;150000
1098;Shapi Suleymanov;Right Winger;22;3000000;Russia;Premier Liga;FK Krasnodar;Israel;Ligat ha'Al;Hapoel Beer Sheva;150000
1099;Naci Ünüvar;Left Winger;19;3000000;Netherlands;Eredivisie;Ajax Amsterdam;Turkey;Süper Lig;Trabzonspor;150000
375;Manu Sánchez;Left-Back;21;10000000;Spain;LaLiga;Atlético de Madrid;Spain;LaLiga;CA Osasuna;200000
758;Denis Suárez;Attacking Midfield;29;5000000;Spain;LaLiga;Celta de Vigo;Spain;LaLiga;RCD Espanyol Barcelona;200000
953;Bartosz Bialek;Centre-Forward;20;4000000;Germany;Bundesliga;VfL Wolfsburg;Netherlands;Eredivisie;Vitesse Arnhem;200000
954;Moritz Jenz;Centre-Back;23;4000000;France;Ligue 1;FC Lorient;Germany;Bundesliga;FC Schalke 04;200000
955;Renato Kayzer;Centre-Forward;26;4000000;Brazil;Série A;Fortaleza Esporte Clube;Korea, South;K League 2;Daejeon Hana Citizen;200000
578;Mostafa Mohamed;Centre-Forward;24;6000000;Turkey;Süper Lig;Galatasaray;France;Ligue 1;FC Nantes;250000
1096;Artur;Defensive Midfield;26;3000000;United States;MLS;Columbus Crew;United States;MLS;Houston Dynamo FC;291000
540;Andreaw Gravillon;Centre-Back;24;7000000;France;Ligue 1;Stade Reims;Italy;Serie A;Torino FC;300000
629;Mergim Berisha;Centre-Forward;24;6000000;Turkey;Süper Lig;Fenerbahce;Germany;Bundesliga;FC Augsburg;300000
